OD matrix,,,,,,,,,,,,
Period: 2019-10-07 00:00:00 to 2019-10-10 00:00:00 ,,,,,,,,,,,,
Granularity: TAZ ,,,,,,,,,,,,
Entries: all routes; all stops,,,,,,,,,,,,
Exits: all routes; all stops,,,,,,,,,,,,
Daily period: 04:00:00 to 03:59:00 ,,,,,,,,,,,,
Days of week: working days,,,,,,,,,,,,
Card titles: all,,,,,,,,,,,,
,,,,,,,,,,,,
itaz,ftaz,volume,average_volume_per_day,volume_of_transfers,number_of_transfers,transfer_distance,transfer_time,travel_time,trust_level,,,
Beato (Madre Deus | Oeste),Olivais (Encarnacao | Este),1,0.3,1,1.00,0.016,9.890,23.915,87.5,,,
Beato (Madre Deus | Oeste),Olivais (Encarnacao | Oeste),5,1.3,1,0.20,0.025,4.409,18.947,91.33,,,
Beato (Madre Deus | Oeste),Olivais (Logistica Aeroportuaria),1,0.3,3,3.00,0.433,67.202,93.171,93.33,,,
Beato (Madre Deus | Oeste),Olivais (Olivais - Centro),34,8.5,4,0.12,0.009,1.966,10.166,93.08,,,
Beato (Madre Deus | Oeste),Olivais (Olivais | Este),,,,,,,,,,,
Beato (Madre Deus | Oeste),Olivais (Olivais | Norte),,,,,,,,,,,
Beato (Madre Deus | Oeste),Olivais (Olivais | Sul),18,4.5,1,0.06,0.000,0.568,6.644,100,,,
Beato (Madre Deus | Oeste),Olivais (Relogio),,,,,,,,,,,
Beato (Madre Deus | Oeste),Parque das Nacoes (Estacao Oriente),137,34.3,25,0.18,0.022,3.488,25.862,98.52,,,
Beato (Madre Deus | Oeste),Parque das Nacoes (Parque Nacoes | Norte),5,1.3,4,0.80,0.023,7.505,26.823,100,,,
Beato (Madre Deus | Oeste),Parque das Nacoes (Parque Nacoes | Sul),1,0.3,1,1.00,0.209,12.902,21.687,100,,,
Beato (Madre Deus | Oeste),Parque das Nacoes (Parque Tejo),1,0.3,1,1.00,0.040,25.045,46.493,100,,,
Beato (Madre Deus | Oeste),Parque das Nacoes (Quinta Laranjeiras),24,6.0,2,0.08,0.012,2.824,23.004,97.57,,,
Beato (Madre Deus | Oeste),Penha de Franca (Penha Franca),18,4.5,24,1.33,0.114,25.393,38.553,92.56,,,
Beato (Madre Deus | Oeste),Penha de Franca (Sao Joao),224,56.0,106,0.47,0.009,4.327,10.529,96.92,,,
Beato (Madre Deus | Oeste),Santa Clara (Ameixoeira | Norte),1,0.3,2,2.00,0.000,21.796,48.291,,,,
Beato (Madre Deus | Oeste),Santa Clara (Ameixoeira | Sul),4,1.0,4,1.00,0.000,15.227,53.562,,,,
Beato (Madre Deus | Oeste),Santa Maria Maior (Baixa),238,59.5,51,0.21,0.000,2.071,8.344,91.02,,,
Beato (Madre Deus | Oeste),Santa Maria Maior (Castelo),11,2.8,12,1.09,0.053,13.554,20.573,97.89,,,
Beato (Madre Deus | Oeste),Santo Antonio (Amoreiras),5,1.3,8,1.60,0.009,20.993,32.971,100,,,
Beato (Madre Deus | Oeste),Santo Antonio (Sao Jose),21,5.3,20,0.95,0.133,24.087,35.901,92.33,,,
Beato (Madre Deus | Oeste),Santo Antonio (Sao Mamede),4,1.0,6,1.50,0.076,21.385,38.125,98.25,,,
Beato (Madre Deus | Oeste),Sao Domingos de Benfica (Estrada Luz | Este),,,,,,,,,,,
Beato (Madre Deus | Oeste),Sao Domingos de Benfica (Estrada Luz | Oeste),,,,,,,,,,,
Beato (Madre Deus | Oeste),Sao Domingos de Benfica (Monsanto | Norte),,,,,,,,,,,
Beato (Madre Deus | Oeste),Sao Domingos de Benfica (Sao Domingos de Benfica),1,0.3,3,3.00,0.089,37.084,51.978,100,,,
Beato (Madre Deus | Oeste),Sao Domingos de Benfica (Sete Rios | Norte),2,0.5,10,5.00,0.445,37.961,74.346,89.69,,,
Beato (Madre Deus | Oeste),Sao Domingos de Benfica (Sete Rios | Sul),5,1.3,6,1.20,0.000,30.137,50.144,100,,,
Beato (Madre Deus | Oeste),Sao Vicente de Fora (Sao Vicente),39,9.8,24,0.62,0.051,11.211,18.284,99.22,,,
Beato (Madre Deus | Sul),Ajuda (Ajuda | Norte),4,1.0,0,0.00,0.000,0.000,45.736,100,,,
Beato (Madre Deus | Sul),Ajuda (Ajuda | Oeste),,,,,,,,,,,
Beato (Madre Deus | Sul),Ajuda (Ajuda | Sul),17,4.3,11,0.65,0.051,11.726,31.384,98.21,,,
Beato (Madre Deus | Sul),Ajuda (Restelo),14,3.5,1,0.07,0.054,2.496,16.951,92,,,
Beato (Madre Deus | Sul),Alcantara (Santo Amaro | Norte),1,0.3,1,1.00,0.013,24.678,61.051,100,,,
Beato (Madre Deus | Sul),Alcantara (Santo Amaro | Oeste),1,0.3,2,2.00,0.000,34.104,66.046,,,,
Beato (Madre Deus | Sul),Alcantara (Santo Amaro | Sul),28,7.0,18,0.64,0.065,7.125,27.187,98.26,,,
Beato (Madre Deus | Sul),Alvalade (Alvalade),5,1.3,9,1.80,0.158,19.719,32.496,81.38,,,
Beato (Madre Deus | Sul),Alvalade (Avenida do Brasil),7,1.8,7,1.00,0.016,15.987,26.968,97.7,,,
Beato (Madre Deus | Sul),Alvalade (Campo Grande),2,0.5,2,1.00,0.017,13.966,25.859,94,,,
Beato (Madre Deus | Sul),Alvalade (Cidade Universitaria),,,,,,,,,,,
Beato (Madre Deus | Sul),Alvalade (Hospital Santa Maria | Este),6,1.5,7,1.17,0.007,8.105,17.562,100,,,
Beato (Madre Deus | Sul),Alvalade (Hospital Santa Maria | Oeste),,,,,,,,,,,
Beato (Madre Deus | Sul),Alvalade (Roma - Areeiro | Este),,,,,,,,,,,
Beato (Madre Deus | Sul),Alvalade (Roma - Areeiro | Oeste),1,0.3,3,3.00,0.205,28.760,46.473,100,,,
Beato (Madre Deus | Sul),Alvalade (Sao Joao de Brito),8,2.0,6,0.75,0.210,24.610,41.914,94.93,,,
Beato (Madre Deus | Sul),Areeiro (Alto Pina),11,2.8,10,0.91,0.194,13.020,21.329,87.83,,,
Beato (Madre Deus | Sul),Areeiro (Areeiro | Norte),56,14.0,11,0.20,0.014,2.946,8.516,96.48,,,
Beato (Madre Deus | Sul),Areeiro (Areeiro | Sul),3,0.8,0,0.00,0.000,0.000,10.242,30.25,,,
Beato (Madre Deus | Sul),Arroios (Anjos),18,4.5,18,1.00,0.368,24.649,41.200,83.92,,,
Beato (Madre Deus | Sul),Arroios (Arroios | Norte),140,35.0,17,0.12,0.000,2.023,8.777,89.14,,,
Beato (Madre Deus | Sul),Arroios (Arroios | Sul),11,2.8,12,1.09,0.321,30.395,44.751,86.23,,,
Beato (Madre Deus | Sul),Arroios (Estefania),4,1.0,15,3.75,0.189,29.709,44.396,91.83,,,
Beato (Madre Deus | Sul),Avenidas Novas (Avenidas Novas | Este),144,36.0,9,0.06,0.000,1.030,9.107,90.15,,,
Beato (Madre Deus | Sul),Avenidas Novas (Avenidas Novas | Oeste),42,10.5,2,0.05,0.000,0.915,15.511,96.71,,,
Beato (Madre Deus | Sul),Avenidas Novas (Bairro Santos | Este),3,0.8,7,2.33,0.129,54.063,79.500,75.67,,,
Beato (Madre Deus | Sul),Avenidas Novas (Bairro Santos | Oeste),,,,,,,,,,,
Beato (Madre Deus | Sul),Avenidas Novas (Campo Pequeno | Este),1,0.3,1,1.00,0.213,13.642,23.055,98,,,
Beato (Madre Deus | Sul),Avenidas Novas (Campo Pequeno | Oeste),4,1.0,9,2.25,0.458,42.132,62.756,69.67,,,
Beato (Madre Deus | Sul),Avenidas Novas (Parque Eduardo VII),2,0.5,6,3.00,0.404,27.444,39.097,90.4,,,
Beato (Madre Deus | Sul),Avenidas Novas (Picoas),,,,,,,,,,,
Beato (Madre Deus | Sul),Beato (Madre Deus | Norte),10,2.5,7,0.70,0.025,12.733,24.842,97.71,,,
Beato (Madre Deus | Sul),Beato (Madre Deus | Oeste),312,78.0,48,0.15,0.014,3.402,5.334,94.18,,,
Beato (Madre Deus | Sul),Beato (Madre Deus | Sul),259,64.8,200,0.77,0.032,12.776,17.348,94.12,,,
Beato (Madre Deus | Sul),Beato (Picheleira),14,3.5,9,0.64,0.124,9.227,15.855,71.99,,,
Beato (Madre Deus | Sul),Belem (Alto Duque),,,,,,,,,,,
Beato (Madre Deus | Sul),Belem (Belem | Este),3,0.8,12,4.00,0.249,32.378,46.704,94.83,,,
Beato (Madre Deus | Sul),Belem (Belem | Oeste),12,3.0,5,0.42,0.088,7.445,28.941,97.83,,,
Beato (Madre Deus | Sul),Belem (Ribeirinha - Belem),,,,,,,,,,,
Beato (Madre Deus | Sul),Benfica (Benfica | Norte),2,0.5,6,3.00,0.000,15.736,38.768,,,,
Beato (Madre Deus | Sul),Benfica (Benfica | Sul),1,0.3,4,4.00,0.000,22.674,47.922,,,,
Beato (Madre Deus | Sul),Benfica (Colegio Militar/Luz),,,,,,,,,,,
Beato (Madre Deus | Sul),Benfica (Monsanto | Norte),1,0.3,1,1.00,0.215,15.087,34.224,99,,,
Beato (Madre Deus | Sul),Campo de Ourique (Amoreiras),6,1.5,6,1.00,0.121,12.316,24.318,96,,,
Beato (Madre Deus | Sul),Campo de Ourique (Campo Ourique),34,8.5,12,0.35,0.049,16.491,34.254,97.07,,,
Beato (Madre Deus | Sul),Campolide (Bairro Liberdade),,,,,,,,,,,
Beato (Madre Deus | Sul),Campolide (Campolide),62,15.5,14,0.23,0.000,3.137,16.863,97.74,,,
Beato (Madre Deus | Sul),Campolide (Praca Espanha | Norte),,,,,,,,,,,
Beato (Madre Deus | Sul),Campolide (Praca Espanha | Sul),30,7.5,1,0.03,0.000,1.206,15.624,83,,,
Beato (Madre Deus | Sul),Carnide (Avenidas Novas),2,0.5,5,2.50,0.024,16.999,42.195,100,,,
Beato (Madre Deus | Sul),Carnide (Carnide),5,1.3,7,1.40,0.000,11.945,41.577,,,,
Beato (Madre Deus | Sul),Estrela (Alcantara),11,2.8,10,0.91,0.023,8.338,26.049,94.92,,,
Beato (Madre Deus | Sul),Estrela (Estrela),8,2.0,2,0.25,0.044,4.426,14.122,99.06,,,
Beato (Madre Deus | Sul),Estrela (Lapa),,,,,,,,,,,
Beato (Madre Deus | Sul),Estrela (Ribeirinha - Belem),4,1.0,4,1.00,0.034,7.241,16.539,96.06,,,
Beato (Madre Deus | Sul),Fora Municipio Lisboa,33,8.3,19,0.58,0.007,5.899,22.982,94.26,,,
Beato (Madre Deus | Sul),Lumiar (Aeroporto),3,0.8,2,0.67,0.181,13.350,23.628,99.5,,,
Beato (Madre Deus | Sul),Lumiar (Lumiar | Norte),,,,,,,,,,,
Beato (Madre Deus | Sul),Lumiar (Lumiar | Oeste),1,0.3,4,4.00,0.344,97.719,120.991,95,,,
Beato (Madre Deus | Sul),Lumiar (Lumiar | Sul),,,,,,,,,,,
Beato (Madre Deus | Sul),Lumiar (Paco Lumiar),2,0.5,4,2.00,0.000,15.442,36.852,,,,
Beato (Madre Deus | Sul),Lumiar (Parque Europa),12,3.0,15,1.25,0.089,24.847,49.372,100,,,
Beato (Madre Deus | Sul),Lumiar (Telheiras | Este),4,1.0,10,2.50,0.030,16.572,41.107,100,,,
Beato (Madre Deus | Sul),Lumiar (Telheiras | Norte),2,0.5,8,4.00,0.054,24.074,49.349,100,,,
Beato (Madre Deus | Sul),Lumiar (Telheiras | Oeste),1,0.3,3,3.00,0.000,24.554,54.665,,,,
Beato (Madre Deus | Sul),Marvila (Bairro Armador),1,0.3,1,1.00,0.023,11.805,17.477,100,,,
Beato (Madre Deus | Sul),Marvila (Chelas),174,43.5,69,0.40,0.011,4.118,9.329,94.47,,,
Beato (Madre Deus | Sul),Marvila (Infante Dom Henrique - Porto | Este),115,28.8,4,0.03,0.009,1.374,4.506,94.55,,,
Beato (Madre Deus | Sul),Marvila (Infante Dom Henrique - Porto | Oeste),15,3.8,31,2.07,0.007,8.606,11.086,91.09,,,
Beato (Madre Deus | Sul),Marvila (Marechal Gomes da Costa),121,30.3,12,0.10,0.011,2.909,12.399,96,,,
Beato (Madre Deus | Sul),Marvila (Parque Bela Vista),3,0.8,9,3.00,0.074,17.923,26.885,100,,,
Beato (Madre Deus | Sul),Misericordia (Bairro Alto),5,1.3,16,3.20,0.137,21.763,33.135,98.17,,,
Beato (Madre Deus | Sul),Misericordia (Sao Paulo),210,52.5,43,0.20,0.018,1.845,7.684,98.21,,,
Beato (Madre Deus | Sul),Olivais (Alfredo Bensaude),12,3.0,4,0.33,0.024,2.651,20.443,79.13,,,
Beato (Madre Deus | Sul),Olivais (Encarnacao | Este),3,0.8,0,0.00,0.000,0.000,18.012,95.33,,,
Beato (Madre Deus | Sul),Olivais (Encarnacao | Oeste),2,0.5,2,1.00,0.057,12.132,30.536,100,,,
Beato (Madre Deus | Sul),Olivais (Logistica Aeroportuaria),,,,,,,,,,,
Beato (Madre Deus | Sul),Olivais (Olivais - Centro),30,7.5,2,0.07,0.000,1.289,11.809,95.07,,,
Beato (Madre Deus | Sul),Olivais (Olivais | Este),6,1.5,2,0.33,0.000,4.349,10.460,93.43,,,
Beato (Madre Deus | Sul),Olivais (Olivais | Norte),17,4.3,4,0.24,0.025,9.789,25.613,92.82,,,
Beato (Madre Deus | Sul),Olivais (Olivais | Sul),19,4.8,10,0.53,0.030,4.973,12.728,99.4,,,
Beato (Madre Deus | Sul),Olivais (Relogio),3,0.8,3,1.00,0.119,41.252,57.838,99.67,,,
Beato (Madre Deus | Sul),Parque das Nacoes (Estacao Oriente),64,16.0,21,0.33,0.000,3.066,21.552,98.55,,,
Beato (Madre Deus | Sul),Parque das Nacoes (Parque Nacoes | Norte),18,4.5,3,0.17,0.040,3.168,19.724,94.46,,,
Beato (Madre Deus | Sul),Parque das Nacoes (Parque Nacoes | Sul),14,3.5,4,0.29,0.008,4.143,11.562,97.58,,,
Beato (Madre Deus | Sul),Parque das Nacoes (Parque Tejo),5,1.3,6,1.20,0.000,11.333,30.117,100,,,
Beato (Madre Deus | Sul),Parque das Nacoes (Quinta Laranjeiras),42,10.5,3,0.07,0.000,1.521,21.771,97.13,,,
Beato (Madre Deus | Sul),Penha de Franca (Penha Franca),12,3.0,10,0.83,0.142,23.097,36.607,96.44,,,
Beato (Madre Deus | Sul),Penha de Franca (Sao Joao),565,141.3,66,0.12,0.012,5.591,10.319,95.46,,,
Beato (Madre Deus | Sul),Santa Clara (Ameixoeira | Norte),2,0.5,4,2.00,0.000,17.254,48.654,,,,
Beato (Madre Deus | Sul),Santa Clara (Ameixoeira | Sul),18,4.5,27,1.50,0.259,135.946,55.555,89.83,,,
Beato (Madre Deus | Sul),Santa Maria Maior (Baixa),157,39.3,32,0.20,0.010,1.292,7.435,90.39,,,
Beato (Madre Deus | Sul),Santa Maria Maior (Castelo),14,3.5,12,0.86,0.282,14.596,21.060,81.01,,,
Beato (Madre Deus | Sul),Santo Antonio (Amoreiras),,,,,,,,,,,
Beato (Madre Deus | Sul),Santo Antonio (Sao Jose),11,2.8,17,1.55,0.021,20.980,32.018,98.81,,,
Beato (Madre Deus | Sul),Santo Antonio (Sao Mamede),6,1.5,10,1.67,0.100,26.815,45.380,83,,,
Beato (Madre Deus | Sul),Sao Domingos de Benfica (Estrada Luz | Este),,,,,,,,,,,
Beato (Madre Deus | Sul),Sao Domingos de Benfica (Estrada Luz | Oeste),1,0.3,3,3.00,0.000,17.082,48.734,,,,
Beato (Madre Deus | Sul),Sao Domingos de Benfica (Monsanto | Norte),,,,,,,,,,,
Beato (Madre Deus | Sul),Sao Domingos de Benfica (Sao Domingos de Benfica),1,0.3,2,2.00,0.000,8.016,33.404,,,,
Beato (Madre Deus | Sul),Sao Domingos de Benfica (Sete Rios | Norte),13,3.3,17,1.31,0.167,11.752,31.525,85.1,,,
Beato (Madre Deus | Sul),Sao Domingos de Benfica (Sete Rios | Sul),4,1.0,7,1.75,0.060,17.420,26.583,93,,,
Beato (Madre Deus | Sul),Sao Vicente de Fora (Sao Vicente),93,23.3,56,0.60,0.035,7.558,12.142,96.08,,,
Beato (Picheleira),Ajuda (Ajuda | Norte),4,1.0,4,1.00,0.000,14.377,49.038,100,,,
Beato (Picheleira),Ajuda (Ajuda | Oeste),1,0.3,1,1.00,0.000,17.831,37.358,100,,,
Beato (Picheleira),Ajuda (Ajuda | Sul),2,0.5,4,2.00,0.295,20.118,52.165,94.5,,,
Beato (Picheleira),Ajuda (Restelo),11,2.8,21,1.91,0.060,335.005,50.104,100,,,
Beato (Picheleira),Alcantara (Santo Amaro | Norte),1,0.3,0,0.00,0.000,0.000,14.910,100,,,
Beato (Picheleira),Alcantara (Santo Amaro | Oeste),,,,,,,,,,,
Beato (Picheleira),Alcantara (Santo Amaro | Sul),163,40.8,28,0.17,0.009,2.283,24.708,95.92,,,
Beato (Picheleira),Alvalade (Alvalade),13,3.3,16,1.23,0.082,30.862,41.423,99.67,,,
Beato (Picheleira),Alvalade (Avenida do Brasil),10,2.5,7,0.70,0.123,9.531,22.155,91.61,,,
Beato (Picheleira),Alvalade (Campo Grande),3,0.8,3,1.00,0.074,8.757,20.792,78.25,,,
Beato (Picheleira),Alvalade (Cidade Universitaria),3,0.8,3,1.00,0.907,33.977,48.147,43.75,,,
Beato (Picheleira),Alvalade (Hospital Santa Maria | Este),2,0.5,4,2.00,0.022,5.651,17.999,100,,,
Beato (Picheleira),Alvalade (Hospital Santa Maria | Oeste),,,,,,,,,,,
Beato (Picheleira),Alvalade (Roma - Areeiro | Este),2,0.5,3,1.50,0.022,22.725,38.200,100,,,
Beato (Picheleira),Alvalade (Roma - Areeiro | Oeste),1,0.3,3,3.00,0.000,28.886,40.138,100,,,
Beato (Picheleira),Alvalade (Sao Joao de Brito),14,3.5,26,1.86,0.131,11.420,19.251,94.59,,,
Beato (Picheleira),Areeiro (Alto Pina),156,39.0,101,0.65,0.038,18.942,21.007,91.02,,,
Beato (Picheleira),Areeiro (Areeiro | Norte),448,112.0,55,0.12,0.009,6.791,9.477,90.92,,,
Beato (Picheleira),Areeiro (Areeiro | Sul),1,0.3,1,1.00,0.096,16.211,22.885,63.5,,,
Beato (Picheleira),Arroios (Anjos),96,24.0,10,0.10,0.009,1.053,16.001,88.88,,,
Beato (Picheleira),Arroios (Arroios | Norte),11,2.8,25,2.27,0.293,17.516,26.833,88.79,,,
Beato (Picheleira),Arroios (Arroios | Sul),58,14.5,32,0.55,0.118,11.539,30.268,95.64,,,
Beato (Picheleira),Arroios (Estefania),195,48.8,9,0.05,0.000,1.028,16.325,93.55,,,
Beato (Picheleira),Avenidas Novas (Avenidas Novas | Este),3,0.8,5,1.67,0.142,13.645,23.649,95.83,,,
Beato (Picheleira),Avenidas Novas (Avenidas Novas | Oeste),3,0.8,3,1.00,0.088,11.251,22.772,99.78,,,
Beato (Picheleira),Avenidas Novas (Bairro Santos | Este),,,,,,,,,,,
Beato (Picheleira),Avenidas Novas (Bairro Santos | Oeste),,,,,,,,,,,
Beato (Picheleira),Avenidas Novas (Campo Pequeno | Este),127,31.8,18,0.14,0.000,0.923,8.671,91.03,,,
Beato (Picheleira),Avenidas Novas (Campo Pequeno | Oeste),46,11.5,9,0.20,0.000,2.062,17.456,93.38,,,
Beato (Picheleira),Avenidas Novas (Parque Eduardo VII),17,4.3,16,0.94,0.057,7.861,21.203,91.74,,,
Beato (Picheleira),Avenidas Novas (Picoas),2,0.5,2,1.00,0.052,10.448,20.249,100,,,
Beato (Picheleira),Beato (Madre Deus | Norte),,,,,,,,,,,
Beato (Picheleira),Beato (Madre Deus | Oeste),39,9.8,50,1.28,0.110,65.445,34.524,95.33,,,
Beato (Picheleira),Beato (Madre Deus | Sul),16,4.0,9,0.56,0.166,20.380,29.302,92.03,,,
Beato (Picheleira),Beato (Picheleira),214,53.5,152,0.71,0.069,18.383,26.867,90.83,,,
Beato (Picheleira),Belem (Alto Duque),,,,,,,,,,,
Beato (Picheleira),Belem (Belem | Este),5,1.3,6,1.20,0.021,8.866,27.223,92.86,,,
Beato (Picheleira),Belem (Belem | Oeste),13,3.3,25,1.92,0.016,14.726,40.924,97.5,,,
Beato (Picheleira),Belem (Ribeirinha - Belem),,,,,,,,,,,
Beato (Picheleira),Benfica (Benfica | Norte),4,1.0,6,1.50,0.095,14.476,39.043,100,,,
Beato (Picheleira),Benfica (Benfica | Sul),6,1.5,10,1.67,0.046,16.677,40.783,100,,,
Beato (Picheleira),Benfica (Colegio Militar/Luz),3,0.8,9,3.00,0.121,24.022,51.745,96.6,,,
Beato (Picheleira),Benfica (Monsanto | Norte),,,,,,,,,,,
Beato (Picheleira),Campo de Ourique (Amoreiras),14,3.5,16,1.14,0.185,22.846,46.815,99.45,,,
Beato (Picheleira),Campo de Ourique (Campo Ourique),23,5.8,3,0.13,0.008,1.262,23.678,94.7,,,
Beato (Picheleira),Campolide (Bairro Liberdade),3,0.8,3,1.00,0.145,12.726,29.380,98.67,,,
Beato (Picheleira),Campolide (Campolide),5,1.3,9,1.80,0.057,232.057,25.233,96.3,,,
Beato (Picheleira),Campolide (Praca Espanha | Norte),29,7.3,2,0.07,0.000,1.137,12.491,83.24,,,
Beato (Picheleira),Campolide (Praca Espanha | Sul),,,,,,,,,,,
Beato (Picheleira),Carnide (Avenidas Novas),6,1.5,9,1.50,0.000,7.871,25.328,100,,,
Beato (Picheleira),Carnide (Carnide),7,1.8,8,1.14,0.199,18.838,47.008,95.11,,,
Beato (Picheleira),Estrela (Alcantara),60,15.0,8,0.13,0.000,1.161,28.124,95.83,,,
Beato (Picheleira),Estrela (Estrela),23,5.8,18,0.78,0.024,44.646,27.915,85.23,,,
Beato (Picheleira),Estrela (Lapa),5,1.3,14,2.80,0.024,32.232,70.848,100,,,
Beato (Picheleira),Estrela (Ribeirinha - Belem),1,0.3,1,1.00,0.075,11.676,27.286,100,,,
Beato (Picheleira),Fora Municipio Lisboa,11,2.8,20,1.82,0.169,17.673,52.288,97.29,,,
Beato (Picheleira),Lumiar (Aeroporto),,,,,,,,,,,
Beato (Picheleira),Lumiar (Lumiar | Norte),3,0.8,10,3.33,0.743,29.119,50.254,66.5,,,
Beato (Picheleira),Lumiar (Lumiar | Oeste),12,3.0,12,1.00,0.100,8.801,25.097,99,,,
Beato (Picheleira),Lumiar (Lumiar | Sul),,,,,,,,,,,
Beato (Picheleira),Lumiar (Paco Lumiar),2,0.5,4,2.00,0.142,22.833,44.271,100,,,
Beato (Picheleira),Lumiar (Parque Europa),10,2.5,19,1.90,0.218,7.895,22.735,94.5,,,
Beato (Picheleira),Lumiar (Telheiras | Este),8,2.0,9,1.13,0.217,14.350,33.532,98.46,,,
Beato (Picheleira),Lumiar (Telheiras | Norte),3,0.8,4,1.33,0.000,26.972,50.937,,,,
Beato (Picheleira),Lumiar (Telheiras | Oeste),4,1.0,16,4.00,0.198,28.509,56.305,100,,,
Beato (Picheleira),Marvila (Bairro Armador),3,0.8,5,1.67,0.054,9.469,14.985,100,,,
Beato (Picheleira),Marvila (Chelas),7,1.8,21,3.00,0.127,25.108,35.082,93.53,,,
Beato (Picheleira),Marvila (Infante Dom Henrique - Porto | Este),4,1.0,5,1.25,0.098,15.979,32.474,100,,,
Beato (Picheleira),Marvila (Infante Dom Henrique - Porto | Oeste),1,0.3,3,3.00,0.264,38.884,50.300,96.75,,,
Beato (Picheleira),Marvila (Marechal Gomes da Costa),9,2.3,16,1.78,0.101,18.177,39.219,100,,,
Beato (Picheleira),Marvila (Parque Bela Vista),2,0.5,5,2.50,0.035,74.377,94.273,100,,,
Beato (Picheleira),Misericordia (Bairro Alto),11,2.8,13,1.18,0.070,16.088,37.761,98.93,,,
Beato (Picheleira),Misericordia (Sao Paulo),15,3.8,25,1.67,0.053,147.016,38.132,98.64,,,
Beato (Picheleira),Olivais (Alfredo Bensaude),3,0.8,5,1.67,0.081,10.188,28.922,100,,,
Beato (Picheleira),Olivais (Encarnacao | Este),,,,,,,,,,,
Beato (Picheleira),Olivais (Encarnacao | Oeste),,,,,,,,,,,
Beato (Picheleira),Olivais (Logistica Aeroportuaria),1,0.3,1,1.00,0.099,27.317,37.841,100,,,
Beato (Picheleira),Olivais (Olivais - Centro),3,0.8,5,1.67,0.208,13.139,23.397,97.56,,,
Beato (Picheleira),Olivais (Olivais | Este),,,,,,,,,,,
Beato (Picheleira),Olivais (Olivais | Norte),4,1.0,9,2.25,0.244,32.827,52.602,97.38,,,
Beato (Picheleira),Olivais (Olivais | Sul),1,0.3,1,1.00,0.289,26.837,36.774,81.5,,,
Beato (Picheleira),Olivais (Relogio),,,,,,,,,,,
Beato (Picheleira),Parque das Nacoes (Estacao Oriente),10,2.5,12,1.20,0.171,31.305,64.420,98.93,,,
Beato (Picheleira),Parque das Nacoes (Parque Nacoes | Norte),1,0.3,2,2.00,0.110,24.972,42.727,100,,,
Beato (Picheleira),Parque das Nacoes (Parque Nacoes | Sul),6,1.5,8,1.33,0.000,20.918,43.561,,,,
Beato (Picheleira),Parque das Nacoes (Parque Tejo),2,0.5,7,3.50,0.238,38.440,66.985,98.67,,,
Beato (Picheleira),Parque das Nacoes (Quinta Laranjeiras),,,,,,,,,,,
Beato (Picheleira),Penha de Franca (Penha Franca),116,29.0,28,0.24,0.012,2.071,12.026,95.16,,,
Beato (Picheleira),Penha de Franca (Sao Joao),243,60.8,154,0.63,0.071,10.671,18.623,85.47,,,
Beato (Picheleira),Santa Clara (Ameixoeira | Norte),1,0.3,3,3.00,0.225,55.960,84.684,100,,,
Beato (Picheleira),Santa Clara (Ameixoeira | Sul),6,1.5,10,1.67,0.142,6.482,23.002,98.93,,,
Beato (Picheleira),Santa Maria Maior (Baixa),65,16.3,26,0.40,0.072,9.665,22.843,87.84,,,
Beato (Picheleira),Santa Maria Maior (Castelo),17,4.3,29,1.71,0.296,13.402,25.086,84.89,,,
Beato (Picheleira),Santo Antonio (Amoreiras),1,0.3,3,3.00,0.170,20.522,33.674,100,,,
Beato (Picheleira),Santo Antonio (Sao Jose),123,30.8,9,0.07,0.000,0.595,14.186,93.87,,,
Beato (Picheleira),Santo Antonio (Sao Mamede),50,12.5,4,0.08,0.000,0.661,26.190,92.78,,,
Beato (Picheleira),Sao Domingos de Benfica (Estrada Luz | Este),9,2.3,17,1.89,0.066,14.743,36.005,100,,,
Beato (Picheleira),Sao Domingos de Benfica (Estrada Luz | Oeste),,,,,,,,,,,
Beato (Picheleira),Sao Domingos de Benfica (Monsanto | Norte),,,,,,,,,,,
Beato (Picheleira),Sao Domingos de Benfica (Sao Domingos de Benfica),3,0.8,3,1.00,0.000,8.191,25.390,100,,,
Beato (Picheleira),Sao Domingos de Benfica (Sete Rios | Norte),3,0.8,12,4.00,0.206,14.107,27.287,99.13,,,
Beato (Picheleira),Sao Domingos de Benfica (Sete Rios | Sul),6,1.5,6,1.00,0.121,10.494,30.256,99.3,,,
Beato (Picheleira),Sao Vicente de Fora (Sao Vicente),53,13.3,21,0.40,0.036,13.578,21.348,96.78,,,
Belem (Alto Duque),Ajuda (Ajuda | Norte),6,1.5,1,0.17,0.000,0.949,7.908,100,,,
Belem (Alto Duque),Ajuda (Ajuda | Oeste),8,2.0,3,0.38,0.170,274.165,9.552,74.36,,,
Belem (Alto Duque),Ajuda (Ajuda | Sul),89,22.3,15,0.17,0.022,30.636,14.443,94.37,,,
Belem (Alto Duque),Ajuda (Restelo),106,26.5,23,0.22,0.049,8.388,14.992,85.37,,,
Belem (Alto Duque),Alcantara (Santo Amaro | Norte),2,0.5,1,0.50,0.096,9.841,22.682,99.5,,,
Belem (Alto Duque),Alcantara (Santo Amaro | Oeste),,,,,,,,,,,
Belem (Alto Duque),Alcantara (Santo Amaro | Sul),71,17.8,32,0.45,0.019,7.449,17.753,98.48,,,
Belem (Alto Duque),Alvalade (Alvalade),3,0.8,3,1.00,0.094,10.095,26.507,98,,,
